0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23  1 14 13 18 20  7 16  5 15 19 31
0  9  8  6  2 12 11 21 25 17 27 24 26  4 30 10  3 28 29 22 23  1 14 13 18 20  7 16  5 15 19 31
0 18 13  9  8  6  2 12 11 21 25 17 24 26  4 30 10  3 28 29 22 23  1 14  7 20 16 27  5 15 19 31
0 18 13  9  8  6  2 12 11 21 25 17 24 26  4 30 10  3 28 29 22 23  1 14  7 20 16 27  5 15 19 31
0 18 13  9  8  6  2 12 11 21 25 17 24 26  4 30 10  3 28 29 22 23  1 14  7 20 16 27  5 15 19 31
0 18 13  9  8  6  2 12 11 21 25 17 24 26  4 30 10  3 28 29 22 23  1 14  7 20 16 27  5 15 19 31
0 18 13  9  8  6  2 12 11 21 25 17 24 26  4 30 10  3 28 29 22 23  1 14  7 20 16 27  5 15 19 31
0 18 13  9  8  6  2 12 11 21 25 17 24 26  4 30 10  3 28 29 22 23  1 14  7 20 16 27  5 15 19 31
0 18 13  9  8  6  2 12 11 21 25 17 24 26  4 30 10  3 28 29 22 23  1 14  7 20 16 27  5 15 19 31
0 18 13  9 11  8  6  2 12 21 25 17 24 26  4 30 10  3 28 29 22 23  1 14  7 20 27  5 15 19 31 16
0 18 13  9 11  8  6  2 12 21 25 17 24 26  4 30 10  3 28 29 22 23  1 14  7 20 27  5 15 19 31 16
0 18 13  9 11  8  6  2 12 21 25 17 24 26  4 30 10  3 28 29 22 23  1 14  7 20 27  5 15 19 31 16
0 18 13  9 11  8  6  2 12 21 25 17 24 26  4 30 10  3 28 29 22 23  1 14  7 20 27  5 15 19 31 16
0 18 13  9 11  8  6  2 12 21 25 17 24 26  4 30 10  3 28 29 22 23  1 14  7 20 27  5 15 19 31 16
0 18 13  9 11  8  6  2 12 21 25 17 24 26  4 30 10  3 28 29 22 23  1 14  7 20 27  5 15 19 31 16
0 18 13  9 11  8  6  2 12 21 25 17 24 26  4 30 10  3 28 29 22 23  1 14  7 20 27  5 15 19 31 16
0 18 13  9 11  8  6  2 12 21 25 17 24 26  4 30 10  3 28 29 22 23  1 14  7 20 27  5 15 19 31 16
0 18 13  9 11  8  6  2 12 21 25 17 24 26  4 30 10  3 28 29 22 23  1 14  7 20 27  5 15 19 31 16
0 18 13  9 11  8  6  2 12 21 25 17 24 26  4 30 10  3 28 29 22 23  1 14  7 20 27  5 15 19 31 16
0 18 13  9 11  8  6  2 12 21 25 17 24 27 26  4 30 10  3 28 29 22 23  1 14  7 20  5 15 19 31 16
0 18 13  9 11  8  6  2 12 21 25 17 24 26  4 30 10  3 16 28 29 22 23  1 14  7 20 27  5 15 19 31
0 18 13  9 11  8  6  2 12 21 25 17 24 26  4 30 10  3 16 28 29 22 23  1 14  7 20 27  5 15 19 31
0 18 13  9 11  8  6  2 12 21 25 17 24 26  4 30 10  3 16 28 29 22 23  1 14  7 20 27  5 15 19 31
0 18 13  9 11  8  6  2 12 21 25 17 24 26  4 30 27 10  3 16 28 29 22 23  1 14  7 20  5 31 15 19
0 18 13  9 11  8  6  2 12 21 25 17 24 26  4 30 27 10  3 16 28 29 22 23  1 14  7 20  5 31 15 19
0 18 13  9 11  8  6  2 12 25 21 15 17 24 26  4 30 27 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 18 13  9 11  8  6  2 12 25 21 15 17 24 26  4 30 27 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 18 13  9 11  8  6  2 12 25 21 15 17 24 26  4 27 30 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 18 13  9 11  8  6  2 12 25 21 15 17 24 26  4 27 30 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 18 13  9 11  8  6  2 12 25 21 15 17 24 26  4 27 30 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 18 13  9 11  8  6  2 12 25 21 15 17 24 26  4 27 30 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 18 13  9 11  8  6  2 12 25 21 15 17 24 26  4 27 30 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 18 13  9 11  8  6  2 12 25 21 15 17 24 26  4 27 30 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 18 13  9 11  8  6  2 12 25 21 15 17 24 26  4 27 30 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 18 13  9 11  8  6  2 12 25 21 15 17 24 26  4 27 30 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 18 13  9 11  8  6  2 12 25 21 15 17 24 26  4 27 30 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 18 13  9 11  8  6  2 12 25 21 15 17 24 26  4 27 30 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 18 13  9 11  8  6  2 12 25 21 15 17 24 26  4 27 30 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 18 13  9 11  8  6  2 12 25 21 15 17 24 26  4 27 30 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 18 13  9 11  8  6  2 12 25 21 15 17 24 26  4 27 30 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 13 18  9 11  8  6  2 12 25 21 15 17 24 26  4 27 30 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 13 18  9 11  8  6  2 12 25 21 15 17 24 26  4 27 30 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 13 18  9 11  8  6  2 12 25 21 15 17 24 26  4 27 30 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 13 18  9 11  8  6  2 12 25 21 15 17 24 26  4 27 30 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 13 18  9 11  8  6  2 12 25 21 15 17 24 26  4 27 30 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 13 18  9 11  8  6  2 12 25 21 15 17 24 26  4 27 30 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 13 18  9 11  8  6  2 12 25 21 15 17 24 26  4 27 30 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 13 18  9 11  6  2 12 25 21  8 15 17 24 26  4 27 30 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 13 18  9 11  6  2 12 25 21  8 15 17 24 26  4 27 30 10  3 16 28 29 22 23  1 14  7 20  5 31 19
0 13 18  9 11  6  2 12 25 21  8 15  5 17 24 26  4 30 27 10  3 16 28 29 22 23  1 14  7 20 31 19
0 13 18  9 11  6  2 12 25 21  8 15  5 17 24 26  4 30 27 10  3 16 28 29 22 23  1 14  7 20 31 19
0 13 18  9 11  6  2 12 25 21  8 15  5 17 24 26  4 30 27 10  3 16 28 29 22 23  1 14  7 20 31 19
0 13 18  9 11  6  2 12 25 21  8 15  5 17 24 26  4 30 27 10  3 16 28 29 22 23  1 14  7 20 31 19
0 13 18  9 11  6  2 12 25 21  8 15  5 17 24 26  4 30 27 10  3 16 28 29 22 23  1 14  7 20 31 19
0 13 18  9 11  6  2 12 25 21  8 15  5 17 24 26  4 30 27 10  3 16 28 29 22 23  1 14  7 20 31 19
0 13 18  9 11  6  2 12 25 21  8 15  5 17 24 26  4 30 27 10  3 16 28 29 22 23  1 14  7 20 31 19
0 13 18  9 11  6  2 12 25 21  8 15  5 17 24 26  4 30 27 10  3 16 28 29 22 23  1 14  7 20 31 19
0 13 18  9 11  6  2 12 25 21  8 15  5 17 24 26  4 30 27 10  3 16 28 29 22 23  1 14  7 20 31 19
